Name,Premise,Solution,What Makes It Good,Derivative/Origin,Information Theory Archetype
"The Virus Riddle","A prehistoric virus has escaped. You must navigate a grid of rooms to destroy virus samples before vents open. You can only enter an infected room once (you destroy it). Find a path that destroys all infected rooms and reaches the exit.","Map the rooms as a graph. Find a Hamiltonian path through infected rooms. The entrance being uninfected means you can pass through it twice, which enables a solution that wouldn't otherwise exist.","Hamiltonian path disguised as survival horror. The 'uninfected entrance' twist is crucial and easy to miss. Time pressure adds narrative stakes.","Hamiltonian path problem has been studied since 1850s (Icosian game). Connects to traveling salesman problem and graph theory fundamentals.","Graph Traversal - finding Hamiltonian paths with special node properties"
"The Airplane Riddle","Professor Fukano wants to fly around the world but planes can only carry enough fuel for half the journey. With 3 identical planes that can refuel each other mid-air, devise a strategy to complete the circumnavigation.","Planes A and B escort C. They transfer fuel at calculated points so C can continue. Planes make multiple trips, refueling C and each other at precise intervals. Requires exact calculation of fuel consumption and transfer points.","Real-world logistics feel. Requires precise mathematical optimization. The 'impossible becomes possible with cooperation' message is inspiring.","Original TED-Ed puzzle. Related to general optimization and logistics problems. Conceptually similar to space mission fuel staging.","Resource Pooling/Relay Optimization - cooperative resource transfer to extend range beyond individual capacity"
"The Egg Drop Riddle","A Faberge museum has eggs on 100 floors. A thief needs to find the highest safe drop floor (egg survives) to maximize profit. With only 2 eggs and limited drops, what's the optimal strategy?","Use triangular number approach: first egg tests floors 14, 27, 39, 50, 60, 69, 77, 84, 90, 95, 99, 100. When it breaks, second egg tests linearly in that range. Maximum 14 drops guaranteed.","Two-phase search strategy is elegant. Triangular numbers arise naturally from the constraint. Balancing worst-case scenarios is a key algorithmic concept.","Classic dynamic programming puzzle. Appears in software engineering interviews. Related to binary search but with the 'two eggs' constraint creating different optimal strategy.","Minimax Search Strategy - minimizing maximum worst-case number of trials with limited resources"
"The Temple Riddle","You're exploring an ancient temple with deadly traps. Mathematical clues indicate which paths are safe. Decode the patterns before time runs out.","Interpret the ancient numerical/geometric clues to identify safe paths. Usually involves recognizing prime numbers, Fibonacci sequences, or geometric progressions in the temple's design.","Indiana Jones adventure framing. Makes abstract number patterns feel consequential. The temple aesthetic is universally appealing.","Original TED-Ed creation by Dennis E. Shasha. Temple/treasure hunt framing is a classic puzzle trope dating to ancient riddle traditions.","Sequence Recognition - identifying mathematical patterns embedded in environmental clues"
"The Ragnarok Riddle","During Ragnarok, the serpent Jormungandr threatens Valhalla. Odin has one lightning bolt left. You have Mjolnir. Use coordinate geometry to determine where to strike to destroy the serpent.","Calculate the optimal strike point using the geometric constraints of the serpent's body position. Requires understanding of coordinate geometry and optimization.","Norse mythology provides epic stakes. Coordinate geometry becomes heroic. The 'one shot' constraint raises tension.","Original TED-Ed creation by Dan Finkel. Coordinate geometry puzzles are standard in mathematics education but rarely framed so dramatically.","Geometric Optimization - finding optimal points in coordinate space under constraints"
"The Dark Coin Riddle","In a completely dark dungeon, you have a pile of coins - some heads up, some tails up. You know how many are heads up. Separate them into two groups with equal numbers of heads showing, all by touch alone.","Split the pile: take exactly N coins (where N = known heads count) into a new pile, then flip all coins in that new pile. Both piles now have equal heads. Algebra proves this works regardless of how many heads you grabbed.","Seems impossible without sight. The 'flip everything' insight is magical. Pure logic triumphs over apparent physical impossibility.","Classic tactile logic puzzle. Appears in recreational mathematics collections. Demonstrates invariant-based reasoning.","Invariant Manipulation - using algebraic invariants to guarantee outcomes despite unknown states"
"The Control Room Riddle","As a spy, you must find the secret control room in a building with limited information. Using logic and deduction from clues about room layouts and security patterns, locate the death ray controls.","Systematically eliminate impossible locations using the given clues. Apply process of elimination with the constraint information to identify the unique valid location.","Spy thriller framing. Multiple constraint satisfaction. The urgency of 'death ray' raises stakes while keeping it playful.","Original TED-Ed creation by Dennis Shasha. Logic grid puzzles date to Lewis Carroll and earlier. Einstein's Riddle is a famous variant.","Constraint Propagation - systematic elimination using logical deduction from multiple conditions"
"The Leonardo da Vinci Riddle","You've found da Vinci's vault with combination locks. You have codes like 1210 and 3211000. Discover the pattern to generate the missing code.","These are self-descriptive numbers: 1210 means '1 zero, 2 ones, 1 two, 0 threes.' The sequence describes its own digit frequency. Apply this pattern to find the next valid self-descriptive number.","Historical figure adds gravitas. Self-descriptive sequences are deeply satisfying. Meta-mathematical (numbers about numbers).","Self-descriptive numbers studied in recreational mathematics. Kaprekar and others explored self-referential number properties. TED-Ed lesson by Tanya Khovanova.","Self-Description/Fixed Points - sequences or objects that encode their own properties"
"The Mondrian Squares Riddle","Divide a square grid into rectangles of different sizes. Minimize the difference between the largest and smallest rectangle areas. What's the lowest possible 'Mondrian score'?","For various grid sizes, find optimal tilings through systematic search. The challenge is that restricting rectangle sizes while covering all space creates unavoidable area differences. Best scores found through careful construction.","Art meets mathematics. Open-ended (best scores not always known). Encourages creative exploration rather than single answer.","Named after Piet Mondrian's art. Combinatorial geometry puzzle. Related to tiling problems and bin packing. TED-Ed lesson by Gordon Hamilton.","Optimization Under Uniqueness Constraints - minimizing variation while satisfying coverage and distinctness requirements"
"The Birthday Cake Riddle","A round birthday cake with a strawberry hidden inside must be divided among guests. Each person wants a fair share AND a chance at the strawberry. Design a fair cutting procedure.","Various fair division protocols work. One approach: guests take turns making cuts, with rules ensuring no one can game the system. The strawberry probability should equal share size.","Real-world fairness problem. Connects to cake-cutting algorithms in economics. Everyone can relate to wanting fair treatment.","Fair division problems date to ancient times. Formalized by Steinhaus, Banach in 1940s. The 'moving knife' procedure is a famous solution.","Fair Division/Mechanism Design - creating protocols that ensure equitable outcomes under self-interest"
"The Passcode Riddle","In a dystopian future, resistance fighters must crack a passcode to escape captivity. Given partial information about the code and feedback from attempts, deduce the correct sequence.","Use the clues from each guess (right number/right place vs. right number/wrong place) to systematically narrow possibilities through logical deduction.","Resistance fighter narrative adds moral weight. Mastermind-style deduction is engaging. The 'limited attempts' constraint adds pressure.","Based on Mastermind game (1970) by Mordecai Meirowitz. Logical deduction games have ancient roots. TED-Ed lesson by Ganesh Pai.","Deductive Elimination - using partial feedback to constrain possibility space"
"The Jail Break Riddle","Your partner will signal you, and exactly 45 seconds later the electric fence will short out. You have two 1-minute fuses that burn unevenly (can't measure time by length). How do you measure exactly 45 seconds?","Light both ends of fuse 1 and one end of fuse 2 simultaneously. Fuse 1 burns out in 30 seconds. At that moment, light the other end of fuse 2 - it will burn out in 15 more seconds. Total: 45 seconds.","The 'burn from both ends' trick is elegant and surprising. Physical intuition about burning rates is deliberately misleading. The escape scenario adds urgency.","Rope-burning puzzles are a classic category dating to at least mid-20th century recreational mathematics. TED-Ed lesson by Dan Finkel.","Non-Linear Measurement - using parallel processes and midpoint detection to measure fractional durations"
"The Wizard Standoff Riddle","You're a champion wizard in a deadly three-way duel. Your opponents have more powerful wands (turns people to fish or statues). You can only deflect spells. When it's your turn, who do you target?","Target no one (or miss intentionally). Let the two stronger wizards eliminate each other. The optimal strategy for the weakest player in a three-way duel is often to pass, letting others fight.","Game theory in a fantasy setting. Counterintuitive that doing nothing is optimal. Demonstrates the 'weakest link' advantage in multiplayer conflicts.","Variant of the 'Truel' (three-person duel) problem from game theory. Analyzed by mathematicians studying multi-party conflicts. TED-Ed lesson by Daniel Finkel.","Strategic Inaction/Truel Theory - optimal strategy in multi-party elimination games"
"The Rebel Supplies Riddle","You're overseeing delivery of rebel supplies. Packages follow a rule: if marked with even number on bottom, must have red top. You see 4 boxes and must verify compliance by checking minimum boxes. Which do you check?","Check boxes with even numbers AND boxes with non-red tops. You must verify: (1) even-numbered boxes have red tops, AND (2) non-red-topped boxes don't have even numbers. This is the Wason Selection Task.","Exposes how humans struggle with logical conditionals. The 'if P then Q' structure requires checking P and not-Q cases. Most people get it wrong initially.","Based on Wason Selection Task (1966), a famous psychology experiment showing humans struggle with abstract conditional reasoning. TED-Ed lesson by Alex Gendler.","Conditional Logic/Contrapositive - understanding that 'if P then Q' requires checking P and not-Q"
"The Multiplying Rabbits Riddle","You're breeding rabbits that multiply according to specific rules. A rival lab has sabotaged you, threatening extinction. Figure out the growth pattern to save the rabbits.","Recognize the Fibonacci sequence in the rabbit population growth. Each generation equals the sum of the two previous generations. Use this pattern to predict and plan for survival.","Connects abstract math to biology. Fibonacci sequence emerges naturally from the breeding rules. The sabotage adds narrative tension.","Based on Fibonacci's original rabbit problem from Liber Abaci (1202). One of the oldest mathematical word problems still in use. TED-Ed lesson by Alex Gendler.","Recursive Sequences - recognizing and extrapolating growth patterns defined by recurrence relations"
"The Seven Planets Riddle","Your interstellar police squad has tracked criminals to a cluster of seven planets. Criminals can jump to adjacent planets each day. You can search one planet per day. Devise a search sequence guaranteed to catch them.","Use a systematic sweep pattern. Search planets in a specific order that accounts for the criminals' possible movements. The key is ensuring no escape route exists regardless of their choices.","Space opera setting is engaging. Pursuit-evasion games are intuitive but mathematically deep. Guaranteed capture vs. probabilistic approaches.","Pursuit-evasion games studied in combinatorial game theory. Related to cop-and-robber games on graphs. TED-Ed lesson by Edwin F. Meyer.","Pursuit-Evasion on Graphs - guaranteed capture strategies in discrete movement games"
"The Penniless Pilgrim Riddle","You've arrived at Duonia for a pilgrimage. The city charges taxes for movement: east/west costs money, north/south is free or earns money depending on direction. Reach the temple without paying anything.","Take an indirect path that exploits the asymmetric costs. By going around rather than directly, you can balance earnings against costs. The counterintuitive long route is actually free.","Economic optimization disguised as pilgrimage. Longer paths being cheaper defies intuition. The medieval setting is charming.","Original TED-Ed creation by Dan Finkel. Related to shortest path problems with negative edge weights in graph theory.","Path Cost Optimization - finding zero-cost paths when direct routes have positive costs"
"The Rogue AI Riddle","A rogue AI named NIM controls water levels. Starting at level 25, you and NIM take turns lowering water by 1, 3, or 4. Whoever reaches 0 wins. You go first - can you guarantee victory?","Start by lowering 4. Then always give NIM a 'losing position' - multiples of 7 or 2 more than multiples of 7. No matter what NIM does, you can force it into another losing position until you reach 0.","Classic Nim-type game with a narrative wrapper. The modular arithmetic pattern is satisfying once discovered. AI antagonist is timely.","Based on Nim and subtraction games from combinatorial game theory. Sprague-Grundy theorem provides the mathematical foundation. TED-Ed lesson by Dan Finkel.","Combinatorial Game Theory - identifying winning/losing positions through modular analysis"
"The Buried Treasure Riddle","After a storm, five sailors describe an island with buried treasure. Each saw a different number of trees (2-6). One sailor claims the treasure is at his feet. Which sailor stands at the treasure?","The sailor who sees only 2 trees stands at the convergence point where two parallel lines of trees intersect - that's where the treasure is buried. Geometric reasoning about sight lines solves it.","Pirate treasure framing is classic. Requires visualizing perspectives from different positions. The 'unreliable witnesses' aspect adds intrigue.","Original TED-Ed creation by Daniel Griller. Related to perspective geometry and triangulation problems.","Perspective Geometry - reconstructing spatial positions from multiple viewpoint descriptions"
"Einstein's Riddle (The Fish Riddle)","Five houses of different colors house people of different nationalities with different pets, drinks, and cigarettes. Given 15 clues about relationships, determine: who owns the fish?","The German owns the fish. Systematic constraint satisfaction using a logic grid. Work through clues methodically, filling in what must be true and eliminating impossibilities.","Famous 'only 2% can solve it' claim (dubious but effective marketing). Pure logical deduction with many interlocking constraints. Satisfying completeness.","Zebra Puzzle origins unclear - attributed to Einstein or Lewis Carroll without evidence. Appeared in Life International magazine (1962). TED-Ed lesson by Dan Van der Vieren.","Constraint Satisfaction - systematic deduction through interlocking logical conditions"
"The Prisoner Boxes Riddle","100 prisoners must each find their own number in one of 100 boxes. Each can open only 50 boxes. If ALL succeed, they survive. Random guessing gives near-zero odds. Is there a better strategy?","Follow the loop: open the box matching your number, then follow the chain (box contains number of next box to open). If all loops are under 50, everyone succeeds. This gives ~31% survival odds.","Probability result is shocking - 31% seems impossible. Loop structure in permutations is elegant. Cooperative strategy where you can't communicate is paradoxical.","100 Prisoners Problem, proposed by Danish computer scientist Peter Bro Miltersen (2003). TED-Ed lesson by Yossi Elran.","Permutation Cycles - exploiting loop structure in random arrangements to achieve unlikely coordination"
"The Infinite Hotel Paradox","A hotel with infinite rooms is fully booked. A new guest arrives. Can you accommodate them? What about infinitely many new guests? What about infinitely many infinite busloads?","For one guest: shift everyone from room n to room n+1. For infinite guests: shift everyone to room 2n, fill odd rooms. For infinite buses: use prime powers (2^n, 3^n, 5^n...) to create infinite non-overlapping sequences.","Mind-bending introduction to infinity. Each level of the problem seems more impossible yet remains solvable. Hilbert's genius made accessible.","Hilbert's Grand Hotel, devised by David Hilbert (1924) to illustrate counterintuitive properties of infinite sets. TED-Ed lesson by Jeff Dekofsky.","Cardinality of Infinite Sets - bijections between infinite sets of different apparent sizes"
"The Vampire Hunter Riddle","You've descended into a vampire cave with mirrors to create a light beam to destroy the vampires. Position mirrors so when sunlight enters, it ricochets to illuminate the vampire chamber.","Map out the cave geometry and calculate reflection angles. Use the law of reflection (angle of incidence = angle of reflection) to trace the light path through multiple bounces to reach the target.","Classic vampire mythology meets optics. Geometric reasoning has physical grounding. The puzzle feels like an action movie setup.","Original TED-Ed creation by Dan Finkel. Based on billiard ball reflection problems and geometric optics.","Geometric Optics - calculating reflection paths through multiple bounces"
"The Secret Werewolf Riddle","You're hunting a werewolf among five suspects. You have one dose of antidote that must be divided into exactly five equal parts - but the vial is square. How do you divide it perfectly?","Use geometric construction to divide the square into 5 equal areas. Various methods exist - one uses parallel cuts at specific calculated positions based on the geometry of 1/5 ratios.","Supernatural narrative meets practical geometry. Fair division with an unusual constraint. The 'one shot' stakes raise tension.","Original TED-Ed creation by Daniel Finkel. Related to classical geometric construction problems and fair division.","Geometric Construction - dividing irregular shapes into equal areas using geometric principles"
"The Escape Hades Riddle","Hades is releasing souls based on where Cerberus's three heads bite in a line of souls. Depending on bite positions, you'll either escape to the living or be trapped forever. Where should you stand?","Analyze the probability distribution of where you'll end up based on Cerberus's possible bite positions. Stand where the expected value of escape is maximized based on the rules.","Greek mythology framing is evocative. Probability under unusual selection rules. The three-headed dog mechanism is creative.","Original TED-Ed creation by Dan Finkel. Related to expected value calculations and optimal positioning problems.","Expected Value Optimization - choosing positions that maximize probability of desired outcomes"
"The Giant Spider Riddle","In a spider tournament, you must catch Queen Shelob on a web grid. You start 2 spaces apart. Each turn, both move one space. You win by catching her in 10 moves or she escapes forever.","Reduce the Manhattan distance systematically. On your move, always shrink the larger of the two coordinates. This forces Shelob into a corner where you can catch her at the last possible moment.","Fantasy tournament framing is fun. Chess-like pursuit on a grid. The tight 10-move constraint creates tension.","Original TED-Ed creation by Dan Finkel. Related to pursuit-evasion games on grid graphs.","Manhattan Distance Pursuit - optimal chase strategy on discrete grids"
"The Human Cannonball Riddle","A circus performer's cannon has been sabotaged before the show. Using clues about three suspects (clown, lion tamer, ringmaster), figure out who did it and fix the cannon to perform safely.","The lion tamer is guilty - evidence includes a torn shoulder tassel found in the cannon. The clown tried to stop the sabotage (yellow liquid from his flower near the lion tamer).","Whodunit mystery in a circus setting. Combines logic puzzle with narrative deduction. Physical evidence interpretation is satisfying.","Adapted from 'The Moscow Puzzles: 359 Mathematical Recreations' by Boris Kordemsky. TED-Ed lesson by Alex Rosenthal.","Evidence-Based Deduction - identifying culprits through physical evidence and logical elimination"
"The Trojan War Riddle","During a brief truce in the Trojan War, the Fates warn that if peace lasts 10 days, the war ends - but if broken, 10 more years of war. You must prevent war-mongering without breaking the truce yourself.","Navigate the diplomatic puzzle by carefully analyzing which actions constitute truce violations and which don't. Find a way to expose warmongers without becoming one yourself.","Epic mythology setting. Moral complexity of preventing war while respecting peace. Historical weight of the Trojan War.","Original TED-Ed creation by Dennis E. Shasha. Related to game theory problems involving signaling and commitment.","Strategic Commitment - achieving goals within rule constraints while others may violate them"
"The Multiverse Rescue Mission Riddle","A superconductor malfunction has trapped your team across 11 dimensions. Using an experimental teleportation robot, retrieve everyone before the portal closes.","Map the dimensional connections and plan an optimal retrieval sequence. Account for movement costs and time constraints to collect all team members efficiently.","Sci-fi multiverse setting is imaginative. Resource optimization under time pressure. The 'rescue mission' adds emotional stakes.","Original TED-Ed creation by Daniel Finkel. Related to graph traversal and optimization problems.","Multi-Stop Optimization - planning efficient routes through connected nodes with time constraints"
"The Honeybee Riddle","You must save the endangered Apis Trifecta honeybees by building working hives. Wire frames need every hexagon filled with wax, but you have limited wax and specific placement rules.","Use mathematical reasoning about hexagonal tilings and efficient coverage. Find a pattern that fills all hexagons while respecting the wax limitations and adjacency rules.","Environmental conservation framing. Hexagonal geometry is visually beautiful. Bees are universally sympathetic.","Original TED-Ed creation by Dan Finkel. Related to hexagonal tiling problems and covering problems in combinatorics.","Hexagonal Tiling - efficient coverage of hexagonal grids under resource constraints"
"The Time Travel Riddle","You're stuck in the past and must collect colored nodules to power a portal home before it closes. Different paths have different nodule combinations. Find the optimal collection route.","Analyze the graph of possible paths and nodule locations. Calculate which route collects enough of each required color while minimizing total travel time.","Time travel narrative is inherently compelling. Multi-objective optimization (multiple colors). The closing portal creates urgency.","Original TED-Ed creation by Dan Finkel. Related to multi-commodity flow and resource collection problems.","Multi-Resource Collection - optimizing routes when gathering multiple distinct required resources"
"The Alien Probe Riddle","You must coat an alien probe with colored panels following specific adjacency rules. Certain colors can't touch. Can you find a valid coating arrangement?","Apply graph coloring principles. Treat each panel position as a node and adjacency as edges. Find a coloring where no adjacent panels share forbidden color combinations.","Space exploration framing. Graph coloring has many real applications. The physical probe makes abstract math tangible.","Based on graph coloring problems fundamental to computer science and mathematics. TED-Ed lesson by Dan Finkel.","Graph Coloring - assigning labels to nodes such that no adjacent pair violates constraints"
"The Secret Assassin Society Riddle","Infiltrating a casino poker game where everyone is either assassin or victim, each carrying a signature playing card. Identify assassins and save victims before time runs out.","Use the card information and behavioral clues to deduce who is who. Logical deduction based on what cards would be held by assassins vs. victims given the game's rules.","Spy thriller atmosphere. Poker setting adds sophistication. Life-or-death stakes for deduction.","Original TED-Ed creation by Alex Rosenthal. Related to deduction games and hidden role identification.","Hidden Role Deduction - identifying concealed identities through observed behaviors and constraints"
"The Demon Dance Party Riddle (Logician's Rave)","Thousands of logicians gather at Learning Man festival. Entry to the exclusive logician's rave requires solving a puzzle from the Demon of Reason at the gate.","Solve the demon's logic puzzle, typically involving self-referential statements, paradoxes, or conditional reasoning that tests true logical thinking.","Playful 'Burning Man' parody. Self-aware about logic culture. The demon gatekeeper is a fun twist.","Original TED-Ed creation by Edwin Meyer. Related to self-referential puzzles and logical paradoxes.","Self-Referential Logic - solving puzzles that reference their own conditions"
"The Troll's Paradox Riddle","A troll holds creatures captive. He'll release them only if you state something that is both true and false simultaneously - an impossible demand. Find a statement that forces his hand.","State: 'You will not release the creatures.' If he releases them, your statement was false (so not both); if he doesn't release them, your statement was true. Either way he's trapped by his own rules.","Classic liar paradox applied practically. The troll's impossible demand backfires. Logic as a weapon against arbitrary power.","Based on the Liar Paradox and self-referential logic puzzles dating to ancient Greece (Epimenides). TED-Ed lesson by Dan Finkel.","Paradoxical Self-Reference - using statements that create logical contradictions to escape impossible constraints"
"The Dragon Jousting Riddle","Teams representing elves, goblins, and treefolk compete in a dragon jousting tournament. Given the bracket structure and some match results, determine the tournament outcome.","Work through the tournament bracket using the given information about matchups and results. Apply logical deduction about who must have won each round.","Fantasy tournament is engaging. Bracket logic is familiar from sports. Multiple fantasy races add color.","Original TED-Ed creation by Alex Gendler. Related to tournament theory and bracket prediction problems.","Tournament Bracket Deduction - determining outcomes from partial tournament information"
"The Rogue Submarine Riddle","You've snuck aboard a rogue submarine with nuclear missiles. To get the override code, you overhear two officers discussing a number with specific sum and product properties. Deduce the code.","This is a sum-and-product puzzle. One officer knows the sum, one knows the product. From their statements about what they can and can't deduce, determine the original numbers.","Cold War thriller atmosphere. The 'impossible' becomes possible through meta-reasoning. Nuclear stakes raise tension.","Sum and Product Puzzle, first published by Hans Freudenthal (1969). A famous 'impossible' puzzle. TED-Ed lesson by Alex Rosenthal.","Meta-Knowledge Reasoning - deducing answers from what others can and cannot deduce"
"The Chessboard and Grain Riddle","A king offers a reward: one grain of rice on square 1 of a chessboard, two on square 2, four on square 3, doubling each time. How much rice total? Is this a good deal for you?","Total is 2^64 - 1 grains, approximately 18 quintillion. This is more rice than has ever been produced in human history. Exponential growth quickly exceeds all reasonable bounds.","Historical framing (Sissa and the Emperor). Demonstrates exponential growth viscerally. The 'trick the king' narrative is satisfying.","Legend attributed to the inventor of chess (Sissa). Wheat and Chessboard problem. TED-Ed uses this to teach exponential growth.","Exponential Growth - demonstrating how repeated doubling leads to astronomical quantities"
